,rank,feature,score,ngram,label
0,0,ดีมาก,0.027199007542421026,1,pos
1,1,เข้าใจง่าย,0.0259714314499467,1,pos
2,2,ดี,0.02227570631600985,1,pos
3,3,มาก,0.01743842209252104,1,pos
4,4,สอน,0.01713198211363674,1,pos
5,5,อธิบาย,0.012353369849567307,1,pos
6,6,เลย,0.012028387341663489,1,pos
7,7,ชัดเจน,0.010381892895117366,1,pos
8,8,สามารถ,0.01030212468399158,1,pos
9,9,สอน เข้าใจง่าย,0.010278956953123024,2,pos
10,10,เข้าใจ,0.01019577320029938,1,pos
11,11,ชอบ,0.009800841122281516,1,pos
12,12,ความรู้,0.009772823998424577,1,pos
13,13,good,0.009724515942268386,1,pos
14,14,คอร์ส,0.009646809461338595,1,pos
15,15,มากขึ้น,0.00939426494003243,1,pos
16,16,จริง,0.00912358118035238,1,pos
17,17,เยอะ,0.008676340777717008,1,pos
18,18,เรียน,0.008552848168218207,1,pos
19,19,เห็นภาพ,0.008386971550249993,1,pos
20,20,สอน ดีมาก,0.008355939275128389,2,pos
21,21,งาน,0.008277154586892304,1,pos
22,22,ง่าย,0.00789072601450651,1,pos
23,23,ได้ดี,0.007849585139813368,1,pos
24,24,ละเอียด,0.007730287540871507,1,pos
25,25,เนื้อหา,0.007651473719551807,1,pos
26,26,นำไปใช้,0.0075851962540888634,1,pos
27,27,ทำให้,0.007577812687875088,1,pos
28,28,ใช้,0.007555676194584556,1,pos
29,29,เข้าใจง่าย มาก,0.007397411365187926,2,pos
30,30,ทำ,0.007085862668325178,1,pos
31,31,สอน ดี,0.007072454387438227,2,pos
32,32,แนะนำ,0.007026272253328381,1,pos
33,33,นำ,0.006810709287671231,1,pos
34,34,การทำงาน,0.006708395065595811,1,pos
35,35,data,0.006675581569048387,1,pos
36,36,กก,0.006337324851500334,1,pos
37,37,ของ,0.006275325316818128,1,pos
38,38,คน,0.006239990330168665,1,pos
39,39,พื้นฐาน,0.006014336628548326,1,pos
40,40,ข้อมูล,0.0059855879834571106,1,pos
41,41,น่าสนใจ,0.005973650742304768,1,pos
42,42,ลอง,0.005973209674707509,1,pos
43,43,ทำให้ เข้าใจ,0.005885509312288473,2,pos
44,44,ใช้ได้,0.0055788714967514134,1,pos
45,45,สำหรับ,0.005434156467466126,1,pos
46,46,เหมาะสำหรับ,0.005319231739253644,1,pos
47,47,ปรับ,0.005307334932262138,1,pos
48,48,สามารถ นำ,0.005288128445054711,2,pos
49,49,กับ,0.005226254868272607,1,pos
50,50,ต่อ,0.005217137329323521,1,pos
51,51,ต้อง,0.005146398478067844,1,pos
52,52,เหมาะกับ,0.005037409187860444,1,pos
53,53,ตัวอย่าง,0.005035048589523845,1,pos
54,54,5,0.0049946958179045795,1,pos
55,55,ภาพรวม,0.004911715012196521,1,pos
56,56,ด้วย,0.004870831922142581,1,pos
57,57,เยอะ มาก,0.00484615317967375,2,pos
58,58,ต่อยอด,0.004793815958810888,1,pos
59,59,รู้,0.004732599185525787,1,pos
60,60,เห็น,0.004706158191294005,1,pos
61,61,ขึ้น,0.004700568400589007,1,pos
62,62,เริ่มต้น,0.0046591236783432195,1,pos
63,63,เรา,0.004645540179375445,1,pos
64,64,อย่าง,0.00460927133743551,1,pos
65,65,ดีมาก เลย,0.004553237620545857,2,pos
66,66,ขอบคุณ,0.004428454913026496,1,pos
67,67,แบบ,0.004412881970996809,1,pos
68,68,ยกตัวอย่าง,0.004346106755228828,1,pos
69,69,ผู้สอน,0.004327961615939429,1,pos
70,70,จริงๆ,0.004262139774677515,1,pos
71,71,ใช้งาน,0.00424492950310173,1,pos
72,72,เยี่ยม,0.004241714846715751,1,pos
73,73,ช่วย,0.004221343893590539,1,pos
74,74,เพิ่มเติม,0.00420722581006457,1,pos
75,75,กระชับ,0.004181883739121927,1,pos
76,76,เทคนิค,0.004156402801234591,1,pos
77,77,มีประโยชน์,0.0041544290362574825,1,pos
78,78,ใหม่,0.004108418253001091,1,pos
79,79,การใช้งาน,0.004050114617186965,1,pos
80,80,ok,0.0040114933391457806,1,pos
81,81,มุมมอง,0.003973696389876117,1,pos
82,82,science,0.0039052692877389293,1,pos
83,83,data science,0.0039052692877389293,2,pos
84,84,สอน ละเอียด,0.003868060356557229,2,pos
85,85,คอร์ส ดีมาก,0.0038417003342108985,2,pos
86,86,ต่างๆ,0.003773835338448578,1,pos
87,87,อธิบาย เข้าใจง่าย,0.003759075124041628,2,pos
88,88,นำไปใช้ งาน,0.0037415719399042043,2,pos
89,89,สามารถ นำไปใช้,0.0037361307436829245,2,pos
90,90,หรือ,0.0037245077526122526,1,pos
91,91,แต่,0.003723851952818072,1,pos
92,92,ดู,0.0036919797688666667,1,pos
93,93,เข้าใจ ง่าย,0.0036620641344505657,2,pos
94,94,สั้น,0.0036216449645550264,1,pos
95,95,การสอน,0.003592748016815734,1,pos
96,96,ด้าน,0.0035350184067606846,1,pos
97,97,สนุก,0.003532561430515389,1,pos
98,98,เรื่อง,0.003483475120408235,1,pos
99,99,ชอบ มาก,0.0034757320318896615,2,pos
100,100,ให้ความรู้,0.003472337624204562,1,pos
101,101,อาจารย์,0.003442329109743441,1,pos
102,102,แล้ว,0.003411466431263713,1,pos
103,103,ทำงาน,0.0034020274487804084,1,pos
104,104,ครอบคลุม,0.0033820559152574143,1,pos
105,105,นำ ต่อยอด,0.003350393825044914,2,pos
106,106,เกี่ยวกับ,0.0033181314111547537,1,pos
107,107,แน่น,0.003297851026366019,1,pos
108,108,อีก,0.003297267859167551,1,pos
109,109,ใช้กับ,0.0032714484954723877,1,pos
110,110,เรียนรู้,0.0032295844897385997,1,pos
111,111,กก กก,0.003225074234657826,1,pos
112,112,ไม่,0.003207962112705366,1,pos
